anime_id,image_url
9130,https://cdn.myanimelist.net/images/anime/12/29597.jpg
9863,https://cdn.myanimelist.net/images/anime/9/73974.jpg
7674,https://cdn.myanimelist.net/images/anime/6/26138.jpg
11843,https://cdn.myanimelist.net/images/anime/3/33257.jpg
16782,https://cdn.myanimelist.net/images/anime/1597/112995.jpg
28675,https://cdn.myanimelist.net/images/anime/9/72614.jpg
3226,https://cdn.myanimelist.net/images/anime/9/75217.jpg
21557,https://cdn.myanimelist.net/images/anime/7/64293.jpg
31715,https://cdn.myanimelist.net/images/anime/10/79375.jpg
43,https://cdn.myanimelist.net/images/anime/10/82594.jpg
9617,https://cdn.myanimelist.net/images/anime/5/76233.jpg
31051,https://cdn.myanimelist.net/images/anime/13/77323.jpg
10153,https://cdn.myanimelist.net/images/anime/1511/94432.jpg
1033,https://cdn.myanimelist.net/images/anime/1648/93626.jpg
32188,https://cdn.myanimelist.net/images/anime/7/77324.jpg
3091,https://cdn.myanimelist.net/images/anime/9/8626.jpg
12115,https://cdn.myanimelist.net/images/anime/12/41305.jpg
28223,https://cdn.myanimelist.net/images/anime/5/71553.jpg
121,https://cdn.myanimelist.net/images/anime/10/75815.jpg
3002,https://cdn.myanimelist.net/images/anime/12/80032.jpg
138,https://cdn.myanimelist.net/images/anime/1902/122320.jpg
6675,https://cdn.myanimelist.net/images/anime/12/28553.jpg
10800,https://cdn.myanimelist.net/images/anime/1959/156735.jpg
32005,https://cdn.myanimelist.net/images/anime/10/78894.jpg
813,https://cdn.myanimelist.net/images/anime/1277/142022.jpg
27821,https://cdn.myanimelist.net/images/anime/9/67425.jpg
28725,https://cdn.myanimelist.net/images/anime/1245/112628.jpg
585,https://cdn.myanimelist.net/images/anime/1764/138714.jpg
16067,https://cdn.myanimelist.net/images/anime/7/53549.jpg
30,https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31490,https://cdn.myanimelist.net/images/anime/1081/137690.jpg
759,https://cdn.myanimelist.net/images/anime/1480/132791.jpg
6,https://cdn.myanimelist.net/images/anime/1130/120002.jpg
6864,https://cdn.myanimelist.net/images/anime/9/25080.jpg
9735,https://cdn.myanimelist.net/images/anime/12/26966.jpg
11977,https://cdn.myanimelist.net/images/anime/6/42331.jpg
11123,https://cdn.myanimelist.net/images/anime/8/34871.jpg
23847,https://cdn.myanimelist.net/images/anime/11/75376.jpg
33161,https://cdn.myanimelist.net/images/anime/13/84052.jpg
962,https://cdn.myanimelist.net/images/anime/2/77621.jpg
1519,https://cdn.myanimelist.net/images/anime/1701/152849.jpg
2167,https://cdn.myanimelist.net/images/anime/1804/95033.jpg
16706,https://cdn.myanimelist.net/images/anime/6/51949.jpg
5681,https://cdn.myanimelist.net/images/anime/1593/116751.jpg
3901,https://cdn.myanimelist.net/images/anime/7/9129.jpg
6467,https://cdn.myanimelist.net/images/anime/7/22312.jpg
10271,https://cdn.myanimelist.net/images/anime/10/30599.jpg
22507,https://cdn.myanimelist.net/images/anime/1404/101364.jpg
3701,https://cdn.myanimelist.net/images/anime/1959/147908.jpg
19123,https://cdn.myanimelist.net/images/anime/9/61015.jpg
